epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,93.8952,0.69054,0.87173,1.03568,0.92412,0.95,0.93311,0.74233,0.8023,0.85772,1.1069,0.00213782,0.00213782,0.00213782
57,95.3511,0.68577,0.82736,0.98704,0.93694,0.9,0.94212,0.77035,0.72886,0.83012,1.06226,0.00206123,0.00206123,0.00206123
58,96.852,0.67008,0.87451,0.99359,0.95057,0.94961,0.92682,0.76312,0.68462,0.8432,1.00683,0.0019851,0.0019851,0.0019851
59,98.3105,0.64259,0.8246,1.00143,0.91871,0.94537,0.93805,0.77694,0.66551,0.79714,1.00304,0.00190949,0.00190949,0.00190949
60,99.7645,0.63242,0.82097,0.98301,0.92027,0.94535,0.93699,0.75707,0.73725,0.79154,1.088,0.0018345,0.0018345,0.0018345
61,101.215,0.64176,0.77366,0.99798,0.94264,0.95,0.94551,0.79728,0.68821,0.76677,1.05759,0.00176018,0.00176018,0.00176018
62,102.732,0.59852,0.81832,0.99676,0.94464,0.95,0.945,0.78602,0.63861,0.76756,1.06606,0.00168662,0.00168662,0.00168662
63,104.167,0.5504,0.74672,0.95705,0.93865,0.95,0.94898,0.7919,0.65471,0.78105,1.07952,0.00161389,0.00161389,0.00161389
64,105.693,0.5571,0.83969,0.97279,0.94942,0.95,0.95352,0.78521,0.6896,0.73708,1.10988,0.00154206,0.00154206,0.00154206
65,107.148,0.58669,0.74208,0.95609,0.94908,0.95,0.96253,0.79784,0.67052,0.72671,1.0883,0.0014712,0.0014712,0.0014712
66,108.616,0.56394,0.73474,0.96315,0.94893,0.95,0.97437,0.80684,0.66794,0.73779,1.07398,0.00140137,0.00140137,0.00140137
67,110.057,0.58471,0.75051,0.98473,0.94839,0.95,0.96983,0.80176,0.67377,0.72624,1.0826,0.00133266,0.00133266,0.00133266
68,111.532,0.56375,0.73656,0.97159,0.94771,0.95,0.97758,0.81443,0.66177,0.73555,1.07251,0.00126512,0.00126512,0.00126512
